Date,Open,High,Low,Close,Volume
2023-04-17,312.6049825415416,313.6367001650962,310.5317719596086,313.282958984375,43007000
2023-04-18,315.39549358382044,315.81802195370216,312.1039043269435,313.3026123046875,46746900
2023-04-19,310.8953715658276,314.2164671752397,310.7676325061279,313.1552734375,38960100
2023-04-20,310.18786478954866,313.70545604121475,309.4804124167507,310.767578125,62462100
2023-04-21,310.4040456011368,311.8680669720803,308.6255942757505,311.0918273925781,59002300
2023-04-24,310.8658883218899,312.20217079199995,308.2718859001082,310.4433898925781,44043100
2023-04-25,308.8122622066785,309.4804033208812,304.4889556047293,304.5871887207031,57121600
2023-04-26,307.97712275751604,309.4509795739338,305.9137172173924,306.4344787597656,55400500
2023-04-27,310.19774298595155,315.2677840420541,309.5590477109076,314.7666931152344,65430400
2023-04-28,314.5307387522474,317.02647709416095,313.4007882778048,316.93804931640625,59712600
2023-05-01,316.4763828700563,317.98955105108405,315.4938115810739,316.57464599609375,41013400
2023-05-02,316.50586493891893,316.8301302625528,312.0744587443646,313.8136291503906,56519400
2023-05-03,314.17709565364254,316.8496901296234,311.6518808391574,311.7599792480469,59882100
2023-05-04,311.5340186637454,312.68364014813113,309.62782815897486,310.6595458984375,50224500
2023-05-05,312.91947297286674,318.1172833774698,310.6988523113847,317.262451171875,51806100
2023-05-08,316.8005465371422,318.3923067168419,315.7197124689244,318.04840087890625,36465800
2023-05-09,316.3879214383984,317.2525888785496,315.7197802294426,316.0342102050781,31768800
2023-05-10,318.47096377915307,320.3280376891628,315.99489521816594,319.47320556640625,60446600
2023-05-11,320.02351532791806,321.05520329833075,318.4710357319131,320.5148010253906,44278500
2023-05-12,321.04533131971783,321.46785976041525,317.3115724396694,319.3651428222656,48432800
2023-05-15,319.8367315655272,321.3302288576638,318.3137283538319,321.09442138671875,33375600
2023-05-16,320.37711263038034,323.16761080073854,320.3378013925757,321.45794677734375,40019200
2023-05-17,322.51918892551805,325.9287124831827,321.34012137518226,325.3489990234375,47486100
2023-05-18,325.7419401567872,331.607890460888,325.7222995308489,331.3917236328125,64213500
2023-05-19,331.6079200448358,332.31537245568006,329.5838259221381,330.64501953125,61554900
2023-05-22,330.38946109596463,332.7672958386684,330.3796257916656,331.7552490234375,43015900
2023-05-23,330.0358299758091,331.1854214014878,327.1961850279305,327.5498962402344,48216700
2023-05-24,325.59457124075004,327.107739087204,323.81611999977775,325.86968994140625,62891200
2023-05-25,333.22913326139553,335.06653617815067,330.8021817653218,333.79901123046875,66862800
2023-05-26,334.82090147078026,343.1629196134218,334.7226383742546,342.3277282714844,63007000
2023-05-30,346.56264897187214,347.7613869295113,342.4555089148934,343.8802490234375,72652200
2023-05-31,342.2983085945595,344.48945306585824,340.4707406387247,341.9249267578125,65105400
